UnitID,InstitutionName,Year,CovidIndicator,GraduationRate,TotalEnrollment,AvgInStateTuition,PercentWhite,PercentWomen,RetentionRate,StudentToFacultyRatio,PercentOnlineOnly,PercentAnyFinancialAid,AvgGrantAid,PercentPellGrant,AvgPellGrant,AvgStudentLoans,PercentSomeOnline,PercentNoOnline,Staff,HealtcareStaff
203720,Ohio Business College-Sheffield,2017,0,48,228,8460,43,82,67,8,0,100,5587,92,4444,7324,0,100,38,0
203739,Ohio Business College-Sandusky,2017,0,46,212,8460,65,79,64,9,0,96,6519,84,4692,7475,0,100,23,0
203748,Lorain County Community College,2017,0,23,11042,3398,73,61,63,16,14,81,4126,51,4139,4233,44,42,730,0
203757,Lourdes University,2017,0,33,1352,20800,70,65,67,13,1,99,13546,40,4767,6284,25,74,196,0
203775,Malone University,2017,0,49,1705,29000,80,58,70,12,7,100,20886,42,4207,6862,18,75,298,0
203845,Marietta College,2017,0,59,1145,35030,64,39,67,9,0,88,22617,32,4172,9909,0,100,326,2
203881,Marion Technical College,2017,0,22,2524,4080,84,57,59,11,12,88,3846,65,4249,4348,26,62,140,0
203960,Mercy College of Ohio,2017,0,58,1416,12360,78,85,89,7,25,98,4119,46,3662,7695,32,44,179,0
203997,Methodist Theological School in Ohio,2017,0,,138,,,,,,,,,,,,,,50,0
204006,Miami University-Hamilton,2017,0,26,2751,5491,78,53,64,16,9,78,3913,41,4182,4716,33,58,241,0
204015,Miami University-Middletown,2017,0,24,1973,5491,77,54,69,14,13,77,3846,41,4119,4833,37,50,197,0
204024,Miami University-Oxford,2017,0,79,19700,11880,71,50,91,14,0,78,11894,11,4340,7876,16,84,3338,23
204121,Moler Hollywood Beauty Academy,2017,0,63,92,,2,99,54,15,0,96,5580,91,5750,6566,0,100,5,0
204176,Mount Carmel College of Nursing,2017,0,73,1069,19759,83,90,67,10,21,90,3649,32,3431,6026,8,72,119,0
204185,University of Mount Union,2017,0,62,2257,29560,80,48,75,13,0,99,17954,32,4516,8619,0,100,443,6
204194,Mount Vernon Nazarene University,2017,0,63,2222,18696,85,63,79,9,14,95,17541,41,3829,7151,11,75,437,3
204200,Mount St. Joseph University,2017,0,61,2010,28100,71,61,71,11,3,100,17305,44,4674,8154,17,81,383,4
204255,Zane State College,2017,0,38,2514,4560,91,56,62,19,4,78,4595,50,4444,3425,20,76,149,0
204264,Muskingum University,2017,0,48,2369,26900,78,56,75,12,12,100,20030,50,4633,8683,1,86,323,3
204422,North Central State College,2017,0,19,3050,3016,86,59,53,16,7,87,4194,51,3992,2622,20,73,219,0
204440,Northwest State Community College,2017,0,27,3620,3776,63,35,71,24,10,86,3715,48,3645,3180,14,76,154,0
204459,Toledo Public Schools Adult and Continuing Education,2017,0,74,110,,20,75,95,15,0,91,4197,91,4166,4867,0,100,25,7
204477,Northeast Ohio Medical University,2017,0,,930,,,,,,,,,,,,,,422,0
204486,University of Northwestern Ohio,2017,0,57,3741,9965,66,19,69,25,9,93,5382,45,4774,7186,4,87,375,0
204501,Oberlin College,2017,0,86,2853,52762,64,58,91,9,0,86,28876,11,3881,5685,0,100,1064,7
204608,Ohio Technical College,2017,0,73,883,,70,6,67,16,0,99,5385,69,3923,7368,0,100,139,0
204617,Ohio Dominican University,2017,0,47,1714,30500,54,55,62,14,5,99,20493,40,4207,6126,13,82,237,1
204635,Ohio Northern University,2017,0,76,3088,30120,77,44,82,11,0,99,20796,27,4185,13652,5,95,573,11
204662,Ohio State University Agricultural Technical Institute,2017,0,41,707,6876,93,49,73,16,0,85,4196,33,3681,7101,17,83,81,0
204671,Ohio State University-Lima Campus,2017,0,38,1018,6912,83,57,65,19,0,88,3255,32,4218,5462,23,77,100,0
204680,Ohio State University-Mansfield Campus,2017,0,48,1061,6912,78,51,68,18,3,88,4280,40,4649,6607,30,67,118,0
204699,Ohio State University-Marion Campus,2017,0,43,1198,6912,81,52,70,19,0,93,4299,37,4315,4867,17,83,128,0
204705,Ohio State University-Newark Campus,2017,0,38,2623,6912,69,50,68,28,1,79,4696,41,4515,5589,18,81,162,1
204714,Ohio State Beauty Academy,2017,0,60,115,,74,97,76,16,0,95,4717,70,4921,7014,0,100,11,0
204723,Ohio State College of Barber Styling,2017,0,70,223,,25,21,84,20,0,95,4795,86,4491,3464,0,100,11,0
204769,The Spa School,2017,0,71,107,,59,99,88,21,0,70,2533,35,3268,4330,0,100,9,0
204778,Ohio State School of Cosmetology-Canal Winchester,2017,0,49,102,,60,88,70,20,0,78,4044,55,3906,3788,0,100,9,0
204796,Ohio State University-Main Campus,2017,0,83,59837,9718,68,48,94,19,2,80,9730,16,4326,7479,30,69,30336,7152
204802,Ohio University-Eastern Campus,2017,0,41,611,4740,91,62,57,14,15,83,4252,40,4276,3105,19,66,48,0
204820,Ohio University-Chillicothe Campus,2017,0,23,1691,4994,87,64,57,13,14,86,4247,48,3771,3637,30,56,117,0
204839,Ohio University-Southern Campus,2017,0,21,1387,4740,91,65,57,14,13,93,4269,68,3991,4126,30,57,109,0
204848,Ohio University-Lancaster Campus,2017,0,27,1615,4994,87,60,56,15,9,85,4494,45,3994,3765,25,65,108,0
204857,Ohio University-Main Campus,2017,0,64,29369,11896,83,60,80,17,24,94,6291,28,4149,7960,20,56,3824,40
204866,Ohio University-Zanesville Campus,2017,0,28,1204,4994,89,70,59,17,7,89,4108,52,3849,3758,23,70,90,0
204884,East Ohio College,2017,0,57,162,11421,96,94,70,13,0,100,6397,88,5263,5545,0,100,21,0
204893,Trinity Health System School of Nursing,2017,0,100,86,9470,92,85,20,6,0,91,4604,64,4604,7000,0,100,13,0
204909,Ohio Wesleyan University,2017,0,70,1560,44430,68,53,78,9,0,100,31028,33,4332,7983,0,100,452,1
204936,Otterbein University,2017,0,64,2936,31424,76,62,81,11,0,100,20110,31,4264,7726,14,86,495,4
204945,Owens Community College,2017,0,18,10038,3672,66,49,53,16,15,85,4003,58,3928,4450,21,65,663,0
204990,Payne Theological Seminary,2017,0,,187,,,,,,,,,,,,,,24,0
205027,Pontifical College Josephinum,2017,0,50,150,21298,74,0,77,6,0,62,5185,38,3202,10000,0,100,65,1
205054,Professional Skills Institute,2017,0,61,415,13168,49,88,69,14,0,100,4630,90,4083,10842,0,100,69,0
205090,Firelands Regional Medical Center School of Nursing,2017,0,,49,7215,82,88,,8,0,,,,,,0,100,14,0
205124,Rabbinical College Telshe,2017,0,40,56,10700,100,0,57,9,0,86,10434,64,5498,,0,100,22,0
205142,Raphael's School of Beauty Culture Inc-Niles,2017,0,62,135,,50,64,78,21,0,87,4889,79,4889,6191,0,100,8,0
205179,Fortis College-Centerville,2017,0,33,690,13442,35,81,44,13,49,92,5940,81,5608,9252,29,22,124,0
205203,University of Rio Grande,2017,0,39,1812,25545,77,64,48,17,8,94,5937,55,4239,6246,15,77,235,1
205391,The Modern College of Design,2017,0,64,211,26714,91,71,71,14,0,96,5938,68,2895,8190,0,100,35,0
205443,Shawnee State University,2017,0,29,3582,6251,85,54,68,15,0,97,5258,54,4257,5959,10,89,449,0
205470,Sinclair Community College,2017,0,26,18448,3169,63,57,53,17,19,82,4813,50,4909,4027,18,64,1292,0
205841,Stark State College,2017,0,15,11613,2796,71,59,53,21,16,82,3815,58,3962,4312,27,57,526,2
205887,Stautzenberger College-Maumee,2017,0,42,624,12762,68,88,56,13,18,96,5065,80,4840,7679,58,24,65,0
205957,Franciscan University of Steubenville,2017,0,78,2929,25970,78,59,87,14,4,99,10971,25,3812,8270,9,87,356,1
205966,Southern State Community College,2017,0,23,2719,4232,93,63,52,20,9,92,4063,69,3947,2662,18,73,186,2
206011,Terra State Community College,2017,0,24,2243,3876,81,50,57,12,17,51,4095,26,5432,2937,29,53,181,0
206048,Tiffin University,2017,0,28,3149,23700,38,46,64,14,23,93,15232,45,4297,7872,16,61,389,7
206084,University of Toledo,2017,0,41,20515,8052,68,49,74,21,9,96,8050,37,4712,6200,33,58,3115,371
206154,Tri-State Bible College,2017,0,100,39,8400,57,34,,4,0,,,,,,9,91,16,0
206288,United Theological Seminary,2017,0,,420,,,,,,,,,,,,,,55,0
206349,Ursuline College,2017,0,53,1123,30840,62,92,71,8,6,100,22761,51,4506,7773,37,57,214,0
206437,Walsh University,2017,0,61,2759,27650,68,59,74,13,0,100,20636,36,4372,8032,16,84,410,0
206446,Washington State Community College,2017,0,25,1821,4170,94,63,57,12,11,87,4561,63,4607,4713,27,62,140,0
206491,Wilberforce University,2017,0,26,627,12020,3,54,38,9,0,100,12308,93,5017,6118,0,100,115,1
206507,Wilmington College,2017,0,58,1169,24300,79,53,68,14,0,100,14179,39,3851,8007,6,94,204,2
206516,Winebrenner Theological Seminary,2017,0,,62,,,,,,,,,,,,,,15,0
206525,Wittenberg University,2017,0,67,1884,37930,76,54,72,13,0,100,26135,38,4757,8491,0,100,365,3
206589,The College of Wooster,2017,0,77,1980,48160,66,55,85,11,0,99,30851,17,4003,7681,0,100,663,13
206604,Wright State University-Main Campus,2017,0,36,15957,8730,74,52,65,14,0,90,6546,40,4478,6571,28,72,2211,24
206613,Wright State University-Lake Campus,2017,0,42,1037,5842,92,55,75,14,3,89,4185,36,3873,5502,49,49,93,1
206622,Xavier University,2017,0,69,6786,37000,75,54,84,11,2,99,20690,16,4411,8309,17,80,1094,9
206695,Youngstown State University,2017,0,34,12521,7847,74,52,77,17,4,98,7917,47,4604,5749,28,67,1325,0
245892,Antioch University,2017,0,,138,18972,78,73,,4,0,,,,,,0,100,27,0
250902,Moler-Pickens Beauty Academy,2017,0,54,78,,19,94,53,15,0,100,5331,100,5302,6804,0,100,5,0
363147,Raphael's School of Beauty Culture Inc-Alliance,2017,0,60,161,,53,99,100,20,0,85,5033,80,5033,6517,0,100,10,0
363882,Raphael's School of Beauty Culture Inc-Brunswick,2017,0,54,57,,75,98,88,18,0,60,4788,44,4788,6058,0,100,4,0
375407,Madison Adult Career Center,2017,0,78,124,,75,74,79,9,0,85,4298,51,3805,3450,0,100,18,0
375416,Remington College-Cleveland Campus,2017,0,47,670,15170,11,76,51,17,0,93,4708,92,4323,6751,2,98,66,0
405012,Ohio State School of Cosmetology-Heath,2017,0,43,60,,98,98,79,15,0,74,3669,40,4304,3946,0,100,8,0
407568,Raphael's School of Beauty Culture Inc-Boardman,2017,0,64,116,,64,91,69,21,0,83,5699,78,4521,6557,0,100,11,0
411754,Cleveland Clinic Health System-School of Diagnostic Imaging,2017,0,,39,9360,72,69,,9,0,,,,,,0,100,5,0
434830,Creative Images Institute of Cosmetology-North Dayton,2017,0,66,185,,55,98,83,18,0,67,3239,44,4202,6784,0,100,21,0
439899,Rosedale Bible College,2017,0,50,48,8400,98,48,50,12,0,100,5408,52,4359,4435,0,100,13,0
441636,American Institute of Alternative Medicine,2017,0,59,395,11274,24,79,,17,0,100,4362,100,4362,9500,0,100,36,0
441645,Brown Aveda Institute-Mentor,2017,0,66,140,,71,96,63,10,0,97,4569,59,4463,5952,0,100,24,0
444051,Creative Images Institute of Cosmetology-South Dayton,2017,0,82,106,,80,96,81,19,0,53,3344,38,4080,6000,0,100,11,0
448600,Stautzenberger College-Brecksville,2017,0,14,385,12592,67,94,75,14,6,88,4925,75,4675,6531,81,13,34,0
450058,Fortis College-Columbus,2017,0,44,774,13914,44,84,61,21,0,99,5155,89,4961,10002,67,33,66,0
450067,Fortis College-Cincinnati,2017,0,48,340,14196,33,68,64,14,0,96,5835,83,5360,10098,49,51,42,0
450395,Brown Aveda Institute-Strongsville,2017,0,79,113,,65,96,80,12,0,100,4084,71,4407,7028,0,100,24,0
451477,MyComputerCareer at Columbus,2017,0,56,617,,46,14,86,15,66,84,4833,64,4788,14563,0,34,12,0
452081,Ross College-Sylvania,2017,0,69,439,,58,96,64,23,50,83,4295,74,4103,7066,0,50,32,0
452373,ATA College-Cincinnati,2017,0,50,277,12780,44,90,30,8,0,55,2751,52,2751,5393,100,0,21,0
452948,Galen College of Nursing-Cincinnati,2017,0,19,478,,77,89,44,13,0,94,3393,63,3223,7032,63,37,44,0
453792,Ohio Medical Career College,2017,0,87,87,,15,89,81,23,0,79,3659,61,3182,7722,0,100,12,0
454236,Chamberlain University-Ohio,2017,0,44,548,18900,69,87,56,8,2,100,4909,56,4058,8174,60,38,88,0
457916,Summit Salon Academy-Perrysburg,2017,0,88,57,,86,100,100,14,0,57,4921,57,4921,7610,0,100,8,0
461111,Allstate Hairstyling & Barber College,2017,0,67,46,,37,17,100,10,0,100,5508,100,5508,,0,100,9,0
461999,Elite School of Cosmetology,2017,0,71,62,,77,92,70,11,0,92,3618,92,3463,5760,0,100,6,0
476629,Salon Institute-Toledo Campus,2017,0,62,75,,95,92,89,7,0,79,4474,52,4474,8274,0,100,17,0
476683,Athena Career Academy,2017,0,66,219,,20,92,34,20,0,99,4513,95,3657,10693,0,100,26,0
482574,DeVry University-Ohio,2017,0,27,1096,14504,67,41,31,24,75,91,6130,73,3847,7168,17,8,70,0
483018,Antioch College,2017,0,56,133,34568,59,62,58,4,23,100,32134,59,5086,5512,0,77,130,0
483647,Ohio Institute of Allied Health,2017,0,79,48,21000,38,83,82,2,0,76,2219,65,1895,7207,0,100,37,7
483920,LaBarberia Institute of Hair,2017,0,85,125,,18,26,71,18,0,94,3276,81,3276,6040,0,100,15,0
486257,Valor Christian College,2017,0,42,267,4440,33,51,73,25,30,91,4866,60,4866,6304,24,47,17,0
487302,Fortis College-Cuyahoga Falls,2017,0,57,451,13683,53,73,50,18,0,94,4520,61,4561,7913,41,59,55,0
487861,Felbry College,2017,0,89,160,,0,90,88,10,0,100,2750,84,2750,5071,0,100,18,0
490692,Cincinnati School of Barbering & Hair Design,2017,0,88,22,,45,9,,13,0,0,,0,,,0,100,3,0
490832,Ross College-Canton,2017,0,,151,,64,84,63,6,0,91,3506,73,3429,8172,0,100,31,0
200590,ETI Technical College,2018,0,55,129,9772,69,71,88,5,0,100,13127,88,5720,8081,0,100,34,0
200785,Herzing University-Akron,2018,0,26,453,13130,43,86,29,13,48,100,6534,91,4736,8253,30,21,33,0
200800,University of Akron Main Campus,2018,0,39,18731,8618,74,47,72,18,4,95,7603,43,4471,6822,31,65,2222,32
200846,University of Akron Wayne College,2018,0,6,1683,5940,87,58,60,20,5,90,5103,43,3889,4669,15,81,100,1
200873,Allegheny Wesleyan College,2018,0,64,72,6800,100,63,67,9,0,100,4983,65,4429,3500,0,100,22,0
201061,Art Academy of Cincinnati,2018,0,63,201,31560,72,71,47,10,0,100,11567,47,4274,5385,0,100,52,0
201104,Ashland University,2018,0,61,6627,20322,69,47,78,16,26,97,12511,35,4534,8135,35,39,837,3
201177,Aultman College of Nursing and Health Sciences,2018,0,100,343,17510,90,90,78,6,1,93,6788,30,4639,7124,25,74,61,0
201195,Baldwin Wallace University,2018,0,64,3709,32586,78,54,82,11,0,100,21257,34,4694,7654,7,93,746,6
201283,Belmont College,2018,0,32,982,2802,91,64,49,12,4,92,3469,48,3952,2631,18,78,101,0
201371,Bluffton University,2018,0,54,770,32316,76,45,66,11,2,100,19394,43,4338,7541,3,95,160,2
201432,Bowling Green State University-Firelands,2018,0,11,1997,4706,78,65,56,21,10,81,4263,48,4354,6136,42,48,106,0
201441,Bowling Green State University-Main Campus,2018,0,56,17540,9096,78,55,77,17,5,95,7066,32,4367,7493,24,72,2120,15
201469,Bryant & Stratton College-Parma,2018,0,28,309,17200,58,89,,11,5,96,7040,81,3793,7589,48,48,52,0
201548,Capital University,2018,0,58,3213,35146,74,63,78,11,0,100,24855,32,4622,7484,16,84,521,0
201645,Case Western Reserve University,2018,0,85,11890,48604,47,45,95,11,0,86,33016,15,4485,6063,1,99,4468,144
201654,Cedarville University,2018,0,72,4150,30070,87,53,87,15,10,100,15553,24,4080,7577,23,66,612,9
201672,Central Ohio Technical College,2018,0,17,3442,4536,69,67,49,15,10,85,4307,59,4153,4486,23,67,217,0
201690,Central State University,2018,0,23,2099,3926,1,60,54,15,0,99,6876,98,4608,12000,22,78,368,2
201821,The Christ College of Nursing and Health Sciences,2018,0,45,902,13995,80,91,76,14,32,96,7187,40,4488,7893,27,41,79,0
201867,Cincinnati College of Mortuary Science,2018,0,,78,17775,91,68,,15,0,,,,,,0,100,13,0
201885,University of Cincinnati-Main Campus,2018,0,68,37886,9322,74,49,86,16,9,83,7376,21,4489,7293,34,57,6887,406
201928,Cincinnati State Technical and Community College,2018,0,17,8205,3800,58,56,50,13,16,77,5357,53,4909,3299,27,57,599,0
201946,University of Cincinnati-Clermont College,2018,0,27,3017,4580,86,57,,13,17,86,4138,44,4600,5016,37,46,239,0
201955,University of Cincinnati-Blue Ash College,2018,0,27,4870,5274,62,59,,17,5,80,4408,48,4141,5191,27,69,328,0
201964,Ohio Christian University,2018,0,25,3660,11000,52,65,70,11,52,88,8560,63,4062,7006,33,14,450,0
201973,Clark State College,2018,0,22,5704,3152,75,66,47,14,18,90,3889,61,4532,4174,24,57,342,0
202046,Cleveland Institute of Art,2018,0,64,670,39300,67,67,86,9,0,100,22924,51,4780,10355,6,94,168,0
202073,Cleveland Institute of Music,2018,0,75,402,43600,27,51,90,5,0,100,30011,10,4220,9491,0,100,122,0
202134,Cleveland State University,2018,0,45,16069,10387,63,54,72,16,5,90,8432,46,6462,6197,31,64,1849,15
202170,Columbus College of Art & Design,2018,0,62,1094,34920,66,70,78,9,0,100,21683,50,4592,9632,19,81,237,0
202222,Columbus State Community College,2018,0,23,27343,4284,58,53,61,19,13,78,4879,51,4894,3685,21,65,1510,15
202356,Cuyahoga Community College District,2018,0,19,23440,4322,54,60,56,16,22,85,4948,61,4962,1990,28,50,2229,20
202435,Davis College,2018,0,0,71,12600,42,94,7,5,0,93,3592,79,3297,5876,0,100,13,0
202453,Dayton Barber College,2018,0,62,48,,17,19,81,15,0,85,4852,85,4852,,0,100,4,0
202480,University of Dayton,2018,0,79,11241,42900,78,48,91,14,0,98,22962,14,4259,12057,4,96,2807,12
202514,Defiance College,2018,0,39,545,31990,72,47,55,9,2,99,19238,50,4147,8996,17,81,142,1
202523,Denison University,2018,0,85,2394,50790,62,54,89,9,0,95,29292,24,4382,6542,0,100,726,17
202648,Edison State Community College,2018,0,33,3650,3910,89,60,53,19,12,77,4004,51,3983,5084,29,59,186,0
202763,The University of Findlay,2018,0,61,4870,33250,71,65,80,16,3,100,20358,26,4011,9290,23,74,654,17
202806,Franklin University,2018,0,30,4970,12624,62,54,29,12,72,86,6297,71,4403,5857,10,17,520,0
202903,Gods Bible School and College,2018,0,37,266,6000,80,47,93,9,31,93,5352,57,4816,3493,47,22,71,0
202912,Good Samaritan College of Nursing and Health Science,2018,0,100,413,13605,81,92,,6,0,86,3292,29,2703,6764,0,100,59,0
203085,Heidelberg University,2018,0,50,1219,30400,80,49,67,13,0,100,19333,44,4440,9148,2,98,274,4
203128,Hiram College,2018,0,58,1255,32359,46,57,76,13,1,100,25223,60,4594,7537,3,96,200,3
203155,Hocking College,2018,0,31,3462,3696,79,52,47,19,3,88,3937,60,4000,5704,22,75,231,2
203289,International College of Broadcasting,2018,0,67,54,12649,54,15,56,8,0,89,5843,89,4988,9102,0,100,14,0
203331,Eastern Gateway Community College,2018,0,14,13940,4125,53,74,59,30,90,100,5097,63,4492,2006,8,2,274,0
203368,John Carroll University,2018,0,78,3555,39840,85,48,83,13,0,99,25732,20,4346,8174,1,99,606,5
203386,Hondros College of Nursing,2018,0,31,2109,15724,48,93,,14,4,92,3739,85,3444,5742,24,72,239,0
203438,Casal Aveda Institute,2018,0,63,115,,83,98,58,7,0,100,5658,81,5400,7552,0,100,20,0
203447,Kent State University at Ashtabula,2018,0,25,2026,5834,82,64,49,22,48,91,3810,55,4477,5151,35,17,112,1
203456,Kent State University at East Liverpool,2018,0,32,1123,5834,85,68,41,26,61,88,3411,59,3647,4081,15,24,53,1
203465,Kent State University at Stark,2018,0,38,4771,5834,81,61,65,23,23,84,3812,39,3936,4444,18,60,296,0
203474,Kent State University at Trumbull,2018,0,29,2244,5834,83,62,60,27,45,90,4762,58,4435,4924,14,41,110,1
