UnitID,InstitutionName,Year,CovidIndicator,GraduationRate,TotalEnrollment,AvgInStateTuition,PercentWhite,PercentWomen,RetentionRate,StudentToFacultyRatio,PercentOnlineOnly,PercentAnyFinancialAid,AvgGrantAid,PercentPellGrant,AvgPellGrant,AvgStudentLoans
203474,Kent State University at Trumbull,2017,0,20,2278,5664,82,62,63,25,44,93,3775,60,3853,4665
203483,Kent State University at Tuscarawas,2017,0,33,2131,5664,88,57,63,22,24,91,2987,51,3665,4227
203492,Kent State University at Salem,2017,0,28,1695,5664,86,70,55,19,32,89,3769,56,3959,4202
203517,Kent State University at Kent,2017,0,58,28972,10012,75,61,80,20,8,95,7306,32,4189,7363
203526,Kent State University at Geauga,2017,0,30,2249,5664,77,62,60,23,41,74,4242,45,4237,5017
203535,Kenyon College,2017,0,91,1677,51540,72,56,93,9,0,61,34966,9,3955,6134
203544,Kettering College,2017,0,52,824,12408,80,85,72,9,23,80,6631,24,4821,9580
203580,Lake Erie College,2017,0,46,1176,29426,66,54,61,14,3,100,23258,47,4215,7031
203599,Lakeland Community College,2017,0,15,7581,4136,77,58,50,16,14,71,3887,54,4033,4642
203614,Collins Career Technical Center,2017,0,66,353,,98,77,85,6,0,98,3718,78,3604,5325
203678,James A. Rhodes State College,2017,0,31,3760,3845,85,63,64,12,8,86,3702,52,3964,2755
203720,Ohio Business College-Sheffield,2017,0,48,228,8460,43,82,67,8,0,100,5587,92,4444,7324
203739,Ohio Business College-Sandusky,2017,0,46,212,8460,65,79,64,9,0,96,6519,84,4692,7475
203748,Lorain County Community College,2017,0,23,11042,3398,73,61,63,16,14,81,4126,51,4139,4233
203757,Lourdes University,2017,0,33,1352,20800,70,65,67,13,1,99,13546,40,4767,6284
203775,Malone University,2017,0,49,1705,29000,80,58,70,12,7,100,20886,42,4207,6862
203845,Marietta College,2017,0,59,1145,35030,64,39,67,9,0,88,22617,32,4172,9909
203881,Marion Technical College,2017,0,22,2524,4080,84,57,59,11,12,88,3846,65,4249,4348
203960,Mercy College of Ohio,2017,0,58,1416,12360,78,85,89,7,25,98,4119,46,3662,7695
203997,Methodist Theological School in Ohio,2017,0,,138,,,,,,,,,,,
